customer_id,name,email,join_date,preferred_channel,preferred_category,recency_days,frequency_purchases,monetary_total_spend,avg_order_value,website_visits_30d,product_views_30d,cart_additions_30d,cart_abandonments_30d,email_opens_30d,email_clicks_30d,support_tickets_30d,engagement_change_pct,return_rate,discount_dependency_ratio,spend_30d,spend_90d,purchase_velocity,churn_label,purchase_intent_label,clv,archetype
C1001,Priya Sharma,priya.sharma45@example.com,2024-01-15,Email,Fashion,58,29,555702.15,19162.14,2,11,4,2,0,0,3,-38.4,0.22,0.362,0.0,388991.51,9.7,1,0,138925.54,at_risk
C1002,Sanya Joshi,sanya.joshi87@example.com,2024-01-15,Phone,Fashion,18,38,122589.72,3226.05,29,82,13,0,13,15,1,35.3,0.052,0.277,36776.92,85812.8,5.0,0,1,284471.94,loyal
C1003,Rahul Mehta,rahul.mehta29@example.com,2024-01-15,Push,Electronics,3,36,526459.43,14623.87,21,70,16,2,9,15,1,34.1,0.025,0.145,157937.83,368521.6,6.9,0,1,1224221.5,loyal
C1004,Riya Verma,riya.verma58@example.com,2024-01-15,Phone,Home & Kitchen,20,35,220605.98,6303.03,51,49,7,0,15,8,0,23.4,0.04,0.173,66181.79,154424.19,5.0,0,1,516160.53,loyal
C1005,Sanya Verma,sanya.verma58@example.com,2024-01-15,SMS,Home & Kitchen,8,7,16846.97,2406.71,42,66,16,9,30,7,0,40.5,0.049,0.582,5054.09,11792.88,44.9,0,1,37371.0,high_intent
C1006,Riya Patel,riya.patel30@example.com,2024-01-15,SMS,Home & Kitchen,55,5,6196.41,1239.28,7,15,1,1,8,1,1,0.4,0.083,0.214,0.0,4337.49,100.6,1,0,3850.0,low_active
C1007,Arjun Mehta,arjun.mehta18@example.com,2024-01-15,Phone,Home & Kitchen,9,9,23475.66,2608.41,45,98,12,6,14,9,1,24.6,0.096,0.786,7042.7,16432.96,27.3,0,1,50725.96,high_intent
C1008,Karan Kumar,karan.kumar84@example.com,2024-01-15,Push,Fashion,23,5,7350.75,1470.15,11,7,1,0,3,2,2,-12.1,0.092,0.332,2205.22,5145.52,87.6,0,0,8012.46,low_active
C1009,Kavya Rao,kavya.rao18@example.com,2024-01-15,SMS,Sports & Fitness,15,45,391037.01,8689.71,31,95,5,0,25,8,2,6.2,0.074,0.165,117311.1,273725.91,9.4,0,1,680507.11,loyal
C1010,Rahul Verma,rahul.verma47@example.com,2024-01-15,Email,Beauty & Care,15,3,4457.29,1485.76,12,10,5,0,8,3,2,0.6,0.079,0.255,1337.19,3120.1,158.3,0,0,5895.31,low_active
